CUSIP,h_opt ($),duration (yrs),h_curr ($),Delta ($),Spread (bps),Score,C1 charge ($)
78392BAE7,0.0,2.571145937236801,1650165.0165016502,-1650165.0165016502,86.09039388,0.008609039387999999,0.0
30040WAV0,0.0,1.2338296834006466,1650165.0165016502,-1650165.0165016502,62.52533914,0.006252533914,0.0
ZO5319751,0.0,2.787109325440841,1650165.0165016502,-1650165.0165016502,73.94164329,0.007394164329,0.0
91311QAC9,0.0,3.0035318647019342,1650165.0165016502,-1650165.0165016502,88.41282583,0.008841282583,0.0
92857WAB6,0.0,6.043246850597514,1650165.0165016502,-1650165.0165016502,57.71998377,0.005771998377,0.0
111021AE1,0.0,4.499455196148759,1650165.0165016502,-1650165.0165016502,99.87695383,0.009987695383000001,0.0
022249AU0,0.0,2.647349148676552,1650165.0165016502,-1650165.0165016502,56.22815436,0.005622815436,0.0
47233JBH0,0.0,4.248931435507001,1650165.0165016502,-1650165.0165016502,90.8386129,0.00908386129,0.0
BS3534952,0.0,1.7182206322343412,1650165.0165016502,-1650165.0165016502,57.50056538,0.0057500565379999995,0.0
208251AE8,0.0,3.5425502238744033,1650165.0165016502,-1650165.0165016502,47.79471341000001,0.004779471341,0.0
ZQ8764776,0.0,4.351869574377912,1650165.0165016502,-1650165.0165016502,43.31506955999999,0.004331506955999999,0.0
86563VBA6,0.0,1.9821243457422144,1650165.0165016502,-1650165.0165016502,49.05535221,0.004905535221,0.0
86563VAY5,0.0,1.5721874644580842,1650165.0165016502,-1650165.0165016502,48.54918534,0.004854918534,0.0
00138EAY0,0.0,1.3341353037361392,1650165.0165016502,-1650165.0165016502,62.65463599,0.006265463599,0.0
744330AA9,0.0,4.584773165114427,1650165.0165016502,-1650165.0165016502,61.20397624,0.006120397624000001,0.0
14912L6T3,0.0,1.4645866997086516,1650165.0165016502,-1650165.0165016502,23.68161671,0.002368161671,0.0
14913R2Q9,0.0,1.5749224905705412,1650165.0165016502,-1650165.0165016502,15.37682735,0.001537682735,0.0
14913UAA8,0.0,1.2413512680341727,1650165.0165016502,-1650165.0165016502,21.603706999999996,0.0021603707,0.0
14913UAE0,0.0,1.8335275929169557,1650165.0165016502,-1650165.0165016502,14.10163389,0.001410163389,0.0
14913UAQ3,0.0,3.9333406196871734,1650165.0165016502,-1650165.0165016502,41.32686611,0.004132686611,0.0
14913UAS9,0.0,2.5471792154535016,1650165.0165016502,-1650165.0165016502,38.63831047,0.003863831047,0.0
24422EUB3,0.0,2.736081324552933,1650165.0165016502,-1650165.0165016502,19.41462282,0.001941462282,0.0
24422EWL9,0.0,6.165653287599759,1650165.0165016502,-1650165.0165016502,47.05259480000001,0.0047052594800000005,0.0
14913UAJ9,0.0,3.5470658394841648,1650165.0165016502,-1650165.0165016502,34.74000826,0.0034740008260000003,0.0
244199BD6,0.0,4.021995118715666,1650165.0165016502,-1650165.0165016502,26.23877722,0.002623877722,0.0
24422EWR6,0.0,2.655642366190573,1650165.0165016502,-1650165.0165016502,27.17017324,0.002717017324,0.0
24422EWZ8,0.0,4.585879399761192,1650165.0165016502,-1650165.0165016502,37.57809496,0.003757809496,0.0
24422EXN4,0.0,5.015861807159566,1650165.0165016502,-1650165.0165016502,70.1000314,0.00701000314,0.0
89236TLZ6,0.0,5.0216518765070495,1650165.0165016502,-1650165.0165016502,78.58591773,0.007858591773,0.0
892331AG4,0.0,4.019285973034653,1650165.0165016502,-1650165.0165016502,34.16830188,0.003416830188,0.0
89236TLD5,0.0,1.6924742333941787,1650165.0165016502,-1650165.0165016502,23.108847080000004,0.0023108847080000002,0.0
89236TKR5,0.0,6.400254733493614,1650165.0165016502,-1650165.0165016502,57.9319989,0.0057931998900000005,0.0
89236TJW6,0.0,6.103960430269445,1650165.0165016502,-1650165.0165016502,61.87987971,0.006187987971,0.0
89236TJK2,0.0,1.3525023879773168,1650165.0165016502,-1650165.0165016502,20.19346584,0.002019346584,0.0
86563VBP3,0.0,1.9239347421256117,1650165.0165016502,-1650165.0165016502,62.72195809,0.006272195809,0.0
89236THX6,0.0,5.41378169811359,1650165.0165016502,-1650165.0165016502,57.93644906,0.005793644906,0.0
AN3868675,0.0,2.129934062187095,1650165.0165016502,-1650165.0165016502,29.76587214,0.0029765872139999997,0.0
717081EA7,0.0,1.7888269420962084,1650165.0165016502,-1650165.0165016502,22.91197486,0.0022911974860000003,0.0
717081DV2,0.0,1.3015825684241797,1650165.0165016502,-1650165.0165016502,22.08321228,0.002208321228,0.0
24422EWE5,0.0,3.779323565938816,1650165.0165016502,-1650165.0165016502,36.26912447,0.0036269124470000003,0.0
24422EVD8,0.0,4.4836530938467,1650165.0165016502,-1650165.0165016502,39.16172649000001,0.003916172649,0.0
24422EVL0,0.0,5.467720029553108,1650165.0165016502,-1650165.0165016502,41.695215649999994,0.004169521565,0.0
EJ5291327,0.0,2.7069793115649423,1650165.0165016502,-1650165.0165016502,72.79430589,0.007279430589000001,0.0
61746BCY0,0.0,1.412878891107906,1650165.0165016502,-1650165.0165016502,43.11514445,0.004311514445,0.0
BS2091905,0.0,1.7084027009285823,1650165.0165016502,-1650165.0165016502,43.23589315,0.004323589315,0.0
86563VBM0,0.0,3.15182826997187,1650165.0165016502,-1650165.0165016502,61.99362808,0.006199362808,0.0
13607HVE9,0.0,1.359419656893592,1650165.0165016502,-1650165.0165016502,40.66501655,0.004066501655,0.0
69349LAS7,0.0,4.234466664314004,1650165.0165016502,-1650165.0165016502,79.84969706,0.007984969706,0.0
31429KAK9,0.0,2.7477536437622225,1650165.0165016502,-1650165.0165016502,67.48241836,0.006748241836,0.0
AN2054384,0.0,2.078398401326677,1650165.0165016502,-1650165.0165016502,27.13036702,0.002713036702,0.0
656029AH8,0.0,5.846583897475903,1650165.0165016502,-1650165.0165016502,97.19198389,0.009719198389,0.0
656029AG0,0.0,1.5845422978923067,1650165.0165016502,-1650165.0165016502,76.53748625,0.007653748625,0.0
89114TZG0,0.0,1.559488838060656,1650165.0165016502,-1650165.0165016502,38.28082609,0.0038280826089999997,0.0
40428HA44,0.0,1.9161132969223114,1650165.0165016502,-1650165.0165016502,40.25576857,0.004025576857,0.0
233851DW1,0.0,4.021814891521235,1650165.0165016502,-1650165.0165016502,79.17977491,0.007917977491,0.0
AX3134464,0.0,3.551885977871412,1650165.0165016502,-1650165.0165016502,77.78677682,0.007778677682,0.0
58769JAL1,0.0,3.061606925709265,1650165.0165016502,-1650165.0165016502,72.65985553,0.007265985553,0.0
58769JAC1,0.0,2.5583274818334454,1650165.0165016502,-1650165.0165016502,62.57981484,0.006257981484,0.0
05565ECH6,0.0,1.9951620858936943,1650165.0165016502,-1650165.0165016502,61.62118758999999,0.006162118758999999,0.0
YT2012888,0.0,4.086523002112064,1650165.0165016502,-1650165.0165016502,91.89468349,0.009189468349,0.0
233851DT8,0.0,3.551885977871412,1650165.0165016502,-1650165.0165016502,77.78677682,0.007778677682,0.0
89236TLL7,0.0,3.4978418056380285,1650165.0165016502,-1650165.0165016502,45.34155267999999,0.004534155268,0.0
89115A3G5,0.0,5.60465254218935,1650165.0165016502,-1650165.0165016502,57.337037654999996,0.0057337037655,0.0
06418GAD9,0.0,3.002210674271734,1650165.0165016502,-1650165.0165016502,57.61413226,0.005761413226,0.0
